#{"t_start": 1721369597.867865, "env_id": null}
r,l,t,d
-6611.023466,930,330.584655,2.903059456532249
-6869.486446,1132,337.904563,0.9643114669968109
785.322213,236,339.412203,0.6171202348672942
-1016.871263,1,339.418203,11.170013888691578
-1031.415961,293,341.273286,2.1809740185046227
-1530.475488,370,343.62822,5.492451300328602
-1427.430113,594,347.507757,2.3228452682173493
-1588.349013,515,350.80143,2.105293054310277
-5293.516541,872,356.397718,2.2322607882246603
-2773.783064,1134,363.673076,2.4063432944846714
-1237.467684,268,365.374165,3.2122849911740774
-1275.126296,493,368.440445,3.1409948154895524
-8855.241674,407,371.087621,14.106357824665663
-1239.037676,233,372.549651,3.7836420892559888
-5349.647875,808,377.681229,0.8956845070333368
-5657.913048,541,381.1001,3.2180657566864395
-5774.549997,490,384.195838,13.792153156176614
-5898.378506,958,390.287593,1.2047794374868765
-15878.206658,770,395.230675,22.246226275806443
-4376.902382,1174,402.683903,17.88121538814449
-1548.198482,521,405.971376,2.657874336452208
-1763.408655,864,411.498714,2.3880984702160264
-922.912819,711,415.973501,0.4390041016907087
-2999.542831,1851,427.7999,4.645613009771451
-4180.445676,1775,439.08229,4.140707956667734
-8853.952877,1161,446.491325,7.080561117663531
-3015.490227,63,446.88665,10.99469543752063
-1131.248195,406,449.423856,3.217559884505789
-4835.923682,1001,455.846302,0.3452152306850429
-902.357753,1107,462.952535,1.1157593459647597
-1235.445721,218,464.309357,10.614915368039998
-1612.613777,473,467.389235,5.255914699690143
-1572.722532,782,472.420683,2.6177107566920577
-5691.695982,646,476.573352,29.804874906977766
-1710.027231,559,480.136388,4.699511761336223
-7734.156147,1884,492.217533,2.9459189256147704
-3408.885935,1154,499.581354,2.722788372898324
-6621.851016,2901,518.124032,2.0662434092827757
-1230.205792,307,520.075917,9.214346915426466
-149.267199,593,523.936873,0.3578082689230231
-3373.582907,2087,537.233449,3.30979754554712
-2932.578121,1584,547.40068,5.4835673549681765
-2629.540205,1109,554.488276,2.680851398031006
-10496.360745,676,558.788344,4.82518184090405
-6902.421895,1850,570.58767,1.779338891330882
-1014.990058,1,570.59467,8.712579363431672
-2179.519798,1094,577.531715,0.4222268063443805
-10485.70702,1144,584.850909,2.146071319373452
-1665.959321,691,589.301735,2.572608532084912
-1000.544697,1,589.310736,5.178728837469873
-1892.007284,886,595.041159,2.289757667734835
-4186.802854,912,600.821728,3.3003698324636583
-7804.563696,1638,611.289758,2.587031795103356
-1121.7914,152,612.247276,7.49931143945311
-2121.05793,697,616.668732,6.757833363648334
-1001.62417,1,616.675731,73.38544556381423
-1331.840734,1245,624.600352,0.35850138752247884
-447.530257,773,629.550389,1.0658896689517199
-3217.718334,672,633.89301,4.694261260110251
-5414.292859,564,637.48997,5.521697736184197
-602.028547,1109,644.613527,0.6169849671453149
-3119.767671,1997,657.489607,2.8721474015460657
-4601.25915,1097,664.526514,14.47924476986734
-506.0028,756,669.351191,1.0633728229659576
708.68305,255,670.981634,0.8028271704445789
-7113.839493,937,677.032681,1.4767227321469278
-1274.540376,269,678.710861,13.994433908320811
-1279.159938,1248,686.704215,0.3336847190176335
-3866.174105,2535,702.948275,4.746639278339744
-9158.635921,3758,726.917547,5.470900065110889
-3171.013202,453,729.80329,5.516310995465769
-1374.678625,1523,739.509893,0.3953220884984149
-1915.630635,926,745.421489,3.4413960356442876
-1035.148931,1179,753.220606,0.6108098138773121
-2059.138416,843,759.069201,4.702636226539548
-1000.147249,1,759.077199,4.407216064260368
-8417.638942,918,765.433724,3.0871735651335426
-2819.587907,2630,795.444819,0.6600030795110601
-706.254587,932,806.84973,0.4456061422877239
394.479262,421,812.156252,1.0361924342280369
-10556.055264,827,821.557518,5.579372205529976
-2077.857446,693,830.324624,0.39098330887047866
-600.206176,708,838.489632,0.4244602904274561
-2364.242495,1521,857.391562,2.4913122872366285
-1516.417966,410,862.435717,5.375634938514054
-1000.327608,1,862.44972,3.6828665656201016
-2376.123266,945,874.257071,7.917909725707433
-1466.342282,234,876.994783,8.043092773889176
-130.497521,632,884.752677,10.24524546497426
-2527.157958,1204,899.828944,2.3078592522766854
553.491773,341,903.997042,0.34547533237624917
-6843.850205,1344,920.754007,0.4096873301193435
-1974.063117,1968,944.77618,0.4984130767244437
-1465.794093,498,951.101335,5.336599180243729
-461.056613,651,959.319833,0.771884797587168
-4918.012551,1195,974.283538,0.4410072564082785
-2768.145552,1653,995.114911,6.342076997708734
-6138.23876,396,1000.120378,8.58348712011365
-5130.022176,907,1010.901149,3.580947856820571
-4270.671669,1030,1023.138001,12.020353318690608
-676.344133,832,1033.32181,0.5694291107352665
-1000.158655,1,1033.335816,5.996006063050828
-1800.191441,602,1041.017452,5.6484974824305025
-7836.047071,2320,1068.225346,2.7601585637513204
-1516.025597,1860,1090.642752,0.3141333728055038
-9130.058305,824,1100.849844,0.8485350480557928
-2491.44424,750,1109.603776,2.498994657991465
-3581.730395,1653,1129.319256,0.7436886322287829
-4725.587307,827,1139.392231,0.6979671634333252
-2144.108375,1412,1157.092201,3.5244946130241455
-8333.220003,1452,1174.790756,0.38275993811013237
1198.374598,161,1176.78293,0.5792659461630677
-8781.659508,567,1183.912713,16.283364776684213
-1356.257731,1269,1196.900649,0.3812655461489006
-26.505762,503,1202.777707,0.3897152179150254
