#{"t_start": 1730106924.3697333, "env_id": null}
r,l,t,d
-15467.503084,731,1575.846402,6.670624301334106
-9889.463202,313,1578.208237,8.759339854061126
-10209.292613,312,1580.597193,9.013292886255073
-9783.631478,303,1582.908298,8.89502568999928
-10880.236071,338,1585.457017,9.186843250091801
-13838.162699,704,1590.782179,6.725125064413247
-15890.688168,861,1597.402416,6.3487581119134955
-9946.174427,307,1600.093828,8.902022092729856
-16258.866135,748,1605.791934,6.659383178299931
-10216.173161,315,1608.163512,8.863390083427406
-10909.62756,330,1610.636802,9.036696859494842
-14094.85072,707,1615.994717,6.749379054873749
-13733.115101,700,1621.314167,6.889049016390237
-14043.980166,707,1626.691339,6.84367773451836
-14818.221227,777,1632.592422,6.795442863285927
-12036.830141,350,1635.238731,9.00098349463994
-11134.608054,337,1638.112868,9.040618070943674
-15383.772637,430,1641.397646,9.134689059160792
-13695.570538,670,1646.431263,8.55485379436032
-14012.734867,709,1651.788738,6.925881999384002
-10965.285436,328,1654.209064,9.083546975858628
-10022.011443,313,1656.481139,8.759317055221986
-13887.246305,704,1661.465761,6.904879567304119
-15713.018273,738,1666.699368,6.628122968174801
-9782.880937,305,1668.872659,8.851142318406533
-15553.81188,434,1671.996328,8.736185442091925
-14359.673889,720,1677.099071,6.997767248173158
-14337.396917,405,1679.988338,8.808663875179798
-13793.790514,704,1684.989199,6.866474150512883
-11062.770603,333,1687.337056,9.108583430588578
-14058.902677,713,1692.406719,7.080531231943619
-19053.692257,814,1698.203,7.9206087603559086
-14343.999608,716,1703.262477,6.867924548852295
-11355.441059,343,1705.718371,9.185949778218026
-10100.508418,315,1707.938345,8.777626616441292
-10182.485934,312,1710.15448,8.9557330915376
-14795.764945,720,1715.293261,6.713110182202358
-14367.918768,771,1720.754746,6.943793052846918
-14128.513945,707,1725.748255,6.909684256820685
-10477.480445,326,1728.065038,8.828116718471184
-14945.994609,849,1734.123025,7.204389979053035
-10274.538787,315,1736.353562,8.97465675378086
-16944.249312,769,1741.812123,7.521100830064398
-11290.362052,339,1744.20871,9.061764168086324
-14452.249631,721,1749.300458,6.918827131575947
-10245.500713,315,1751.512047,8.875814638991447
-14630.516488,728,1756.667701,6.965906228108595
-15270.770719,727,1761.798161,6.656743538715942
-13905.690468,703,1766.775749,6.981673373065048
-10121.612563,318,1769.024189,8.755453559386297
-10928.804159,327,1771.332556,9.037543680953094
-13966.999932,707,1776.332034,6.955568235789894
-10867.306308,326,1778.647112,9.054104668394379
-15023.920014,726,1783.818722,6.734930562284312
-13903.210598,702,1788.768738,6.977778035275842
-10413.925284,321,1791.05059,8.859594096754472
-10339.109517,313,1793.265647,9.021786176337788
-10093.474621,315,1795.494434,8.795365494137057
-17012.729607,1075,1803.100278,7.806021582181286
-10115.682961,318,1805.349676,8.752114394384733
-10062.242769,313,1807.583472,8.802810547004587
-13917.456212,707,1812.577002,6.920100756349241
-10292.600371,325,1814.89094,8.715611645558113
-14897.110694,721,1819.97698,6.760634804601615
-10989.377876,326,1822.258271,9.081191873048887
-10355.803277,314,1824.471728,9.006853500333923
-14900.295931,720,1829.576124,6.747185607333835
-15426.317591,729,1834.767338,6.635214008505855
-13911.78309,704,1839.794869,6.8586195949282915
-13810.132876,702,1844.742958,6.903213827248695
-14024.945536,706,1849.782597,6.910546904981275
-15173.613051,725,1855.198276,6.714167304893966
-10003.626067,315,1857.411602,8.745632355339584
-9984.867615,307,1859.566443,8.890223763701234
-9987.530613,307,1861.765858,8.912399685206505
-9898.543507,307,1863.972281,8.855972044871066
-10327.454961,315,1866.207489,8.99068767030995
-14593.983357,714,1871.285844,6.7639209935221425
-9916.66826,307,1873.454884,8.861792566289804
